Date,Open,High,Low,Close,Volume,PriceMode
2026-04-02,27.0,28.0,26.14,27.76,2530245,adjusted
2026-04-06,29.28,29.9499,28.79,29.16,6320106,adjusted
2026-04-07,29.07,29.46,28.38,29.44,4869630,adjusted
2026-04-08,33.39,33.39,31.6934,32.47,9442621,adjusted
2026-04-09,31.5,32.45,30.825,32.38,10282908,adjusted
2026-04-10,32.58,32.7,32.1081,32.43,4864751,adjusted
2026-04-13,32.35,33.58,32.06,33.55,5547892,adjusted
2026-04-14,34.31,35.57,33.7,35.57,8770406,adjusted
2026-04-15,34.625,34.68,33.6948,34.47,7354163,adjusted
2026-04-16,34.815,35.34,34.53,35.04,6114412,adjusted
2026-04-17,35.7,35.97,35.2601,35.59,5743805,adjusted
2026-04-20,35.44,35.68,34.55,35.07,6581131,adjusted
2026-04-21,35.795,36.0,34.8939,34.93,6938812,adjusted
2026-04-22,36.13,37.5,35.8,37.3,9861410,adjusted
2026-04-23,36.735,37.35,35.81,36.36,11883727,adjusted
2026-04-24,36.985,37.55,36.63,37.2,11151423,adjusted
2026-04-27,38.32,39.34,38.01,38.57,11874228,adjusted
2026-04-28,37.35,37.97,36.51,37.33,14534936,adjusted
2026-04-29,38.69,39.0,37.87,38.23,11286987,adjusted
2026-04-30,39.21,39.43,38.2,39.33,9381542,adjusted
2026-05-01,38.9,40.8,38.75,40.41,11751030,adjusted
2026-05-04,42.15,43.43,41.91,42.47,29751310,adjusted
2026-05-05,44.4,46.98,44.29,46.29,36056184,adjusted
2026-05-06,48.645,48.99,46.34,48.68,47141015,adjusted
2026-05-07,47.95,48.78,46.08,46.55,27480494,adjusted
2026-05-08,49.0,52.8,48.9,52.8,41325404,adjusted
2026-05-11,54.91,56.38,53.7,55.08,79681428,adjusted
2026-05-12,52.03,52.965,48.32,51.3,69795091,adjusted
2026-05-13,54.67,54.87,52.87,54.54,42539351,adjusted
2026-05-14,53.47,55.09,53.15,53.79,28665253,adjusted
2026-05-15,50.69,51.93,49.82,51.1,35031288,adjusted
2026-05-18,53.14,53.15,48.01,49.32,39079860,adjusted
2026-05-19,47.4,51.0494,46.43,49.77,37477417,adjusted
2026-05-20,51.0,51.63,49.73,51.51,23360048,adjusted
2026-05-21,52.18,54.45,51.9001,54.34,28100257,adjusted
2026-05-22,53.67,54.29,52.72,52.82,21170427,adjusted
2026-05-26,57.16,61.32,57.05,60.51,45481863,adjusted
2026-05-27,62.44,62.68,59.05,60.73,42342144,adjusted
2026-05-28,61.03,63.64,59.91,62.57,32036724,adjusted
2026-05-29,63.46,64.29,62.16,63.2,27940077,adjusted
2026-06-01,65.74,68.76,65.46,68.0,41728793,adjusted
2026-06-02,68.15,70.15,67.05,69.57,42711349,adjusted
2026-06-03,69.74,70.02,67.5,69.71,28084739,adjusted
2026-06-04,64.725,67.12,63.1802,65.7,48878943,adjusted
2026-06-05,60.82,61.17,55.38,55.79,77696115,adjusted
2026-06-08,60.715,61.61,58.95,60.52,44523416,adjusted
2026-06-09,63.62,63.63,55.45,59.86,69995852,adjusted
2026-06-10,58.11,61.245,57.065,57.37,40826381,adjusted
2026-06-11,59.61,65.15,59.1601,65.12,47924439,adjusted
2026-06-12,63.765,66.17,62.9,65.01,32323017,adjusted
2026-06-15,69.64,71.18,68.76,71.07,36982924,adjusted
2026-06-16,71.72,72.61,67.6,68.12,46558803,adjusted
2026-06-17,71.75,73.14,69.61,69.95,41820015,adjusted
2026-06-18,75.245,77.7,75.0,76.71,52595668,adjusted
2026-06-22,80.675,81.34,79.0701,80.72,56191648,adjusted
2026-06-23,69.52,73.07,68.59,69.22,82041889,adjusted
2026-06-24,71.675,71.79,67.13,69.93,76629921,adjusted
2026-06-25,79.155,79.6,73.5,76.89,104822996,adjusted
2026-06-26,72.26,74.77,71.33,71.88,59400789,adjusted
2026-06-29,70.78,72.0,66.47,71.94,64700536,adjusted
2026-06-30,72.1,74.16,71.78,73.85,37613063,adjusted
2026-07-01,67.66,68.6899,65.8,65.86,72237470,adjusted
2026-07-02,64.55,65.75,58.895,60.63,98441114,adjusted
2026-07-06,65.32,65.94,64.26,64.76,43810915,adjusted
2026-07-07,60.05,61.24,58.2,60.59,76703638,adjusted
2026-07-08,58.395,62.04,58.395,62.04,69855567,adjusted
2026-07-09,65.0,66.1,64.1525,64.36,73906253,adjusted
2026-07-10,61.91,63.67,61.252,63.04,64704673,adjusted
2026-07-13,57.495,58.51,56.31,57.3,79517630,adjusted
2026-07-14,60.68,61.66,59.02,61.23,87158044,adjusted
2026-07-15,60.63,60.69,55.0,57.4,91975911,adjusted
2026-07-16,54.31,54.75,51.9,52.34,98677354,adjusted
2026-07-17,49.83,55.4,48.635,52.72,136040775,adjusted
2026-07-20,54.25,55.2,52.92,53.06,50527434,adjusted
2026-07-21,57.05,59.345,56.45,58.85,70930319,adjusted
2026-07-22,56.365,58.66,56.08,57.77,44652018,adjusted
2026-07-23,57.44,59.23,57.03,58.3,55562386,adjusted
2026-07-24,55.76,56.22,52.73,53.2,73665652,adjusted
2026-07-27,54.915,55.29,50.23,52.43,77080629,adjusted
2026-07-28,48.265,48.87,46.09,47.77,88785166,adjusted
2026-07-29,47.63,48.7,44.4001,44.85,125046502,adjusted
2026-07-30,48.02,52.34,47.93,52.34,130110867,adjusted
2026-07-31,54.7,55.45,50.26,50.37,101145637,adjusted
2026-08-03,49.0,51.57,47.68,51.13,64583435,adjusted
2026-08-04,53.52,55.41,53.33,54.89,53900241,adjusted
2026-08-05,53.43,55.44,53.3188,53.74,48149647,adjusted
2026-08-06,49.55,53.025,48.79,51.44,54819618,adjusted
2026-08-07,51.985,52.06,48.772,50.6,50283472,adjusted
2026-08-10,49.42,50.935,49.17,49.6,27639429,adjusted
