Date,Open,High,Low,Close,Volume,PriceMode
2026-06-12,150.0,176.52,149.34,160.95,522131790,adjusted
2026-06-15,171.74,193.0,168.35,192.5,256226632,adjusted
2026-06-16,200.51,225.64,195.13,201.8,322149250,adjusted
2026-06-17,209.84,213.7999,187.01,191.82,201719498,adjusted
2026-06-18,188.39,190.0,172.11,185.0,272126781,adjusted
2026-06-22,176.042,176.75,154.0,154.6,169183799,adjusted
2026-06-23,151.06,165.5,147.11,156.11,155848109,adjusted
2026-06-24,154.1954,159.86,150.72,154.54,76101541,adjusted
2026-06-25,156.625,160.65,150.0,153.0,62212435,adjusted
2026-06-26,150.62,158.4,148.51,153.23,126932861,adjusted
2026-06-29,157.355,166.17,151.7356,164.19,81443101,adjusted
2026-06-30,163.38,172.4,161.64,170.86,82047546,adjusted
2026-07-01,171.565,171.74,155.0,157.54,109317597,adjusted
2026-07-02,159.725,162.16,155.88,162.0,61257120,adjusted
2026-07-06,165.95,167.895,155.04,160.42,188831328,adjusted
2026-07-07,158.92,159.2999,148.86,149.47,83779737,adjusted
2026-07-08,152.55,152.93,145.2,148.3,60949410,adjusted
2026-07-09,150.445,153.5,147.59,152.16,46468592,adjusted
2026-07-10,150.125,150.57,145.07,145.3,46825995,adjusted
2026-07-13,144.7,144.92,136.78,139.14,71456511,adjusted
2026-07-14,140.95,143.33,135.52,136.08,46694833,adjusted
2026-07-15,137.505,139.34,132.1501,135.27,58040919,adjusted
2026-07-16,135.01,137.76,130.74,131.11,58725579,adjusted
2026-07-17,127.43,130.3299,122.12,123.99,83706220,adjusted
